N,theta,brute_force_ms,brute_force_mem_ms,barnes_hut_ms,barnes_hut_mem_ms,speedup,avg_rel_error_pct
5000,0.25,3.5919,0.295,3.92064,0.327,0.916153,2.51174
5000,0.5,3.5919,0.295,0.869248,0.302,4.1322,2.8578
5000,1,3.5919,0.295,0.2728,0.286,13.1668,5.37679
10000,0.25,4.54214,0.357,9.78464,0.535,0.464212,0.169749
10000,0.5,4.54214,0.357,1.95578,0.47,2.32243,0.45649
10000,1,4.54214,0.357,0.473408,0.452,9.59456,2.75742
25000,0.25,28.1572,0.75,29.6953,1.051,0.948202,0.123656
25000,0.5,28.1572,0.75,5.35098,0.884,5.26206,0.345487
25000,1,28.1572,0.75,1.14803,0.818,24.5265,2.29022
50000,0.25,87.4567,1.202,48.4653,1.884,1.80452,0.0970331
50000,0.5,87.4567,1.202,8.44234,1.933,10.3593,0.281062
50000,1,87.4567,1.202,1.70282,1.927,51.36,2.02799
500000,0.25,7727.73,12.544,1930.76,18.215,4.00244,0.0215367
500000,0.5,7727.73,12.544,273.571,17.474,28.2476,0.11302
500000,1,7727.73,12.544,37.4644,17.574,206.269,1.5488
1000000,0.25,31338.3,27.045,5233.54,35.597,5.98797,0.017448
1000000,0.5,31338.3,27.045,727.821,33.131,43.0576,0.0931308
1000000,1,31338.3,27.045,96.0815,34.3,326.163,1.48811
